,,,Time,Volts
Record Length,2.50E+03,,-0.000000121,7.4
Sample Interval,1.00E-10,,-0.0000001209,7.4
Trigger Point,1.21E+03,,-0.0000001208,7.6
,,,-0.0000001207,7.6
,,,-0.0000001206,7.6
,,,-0.0000001205,7.6
Source,CH2,,-0.0000001204,7.6
Vertical Units,V,,-0.0000001203,7.6
Vertical Scale,5.00E+00,,-0.0000001202,7.6
Vertical Offset,0.00E+00,,-0.0000001201,7.6
Horizontal Units,s,,-0.00000012,7.6
Horizontal Scale,2.50E-08,,-0.0000001199,7.6
Pt Fmt,Y,,-0.0000001198,7.6
Yzero,0.00E+00,,-0.0000001197,7.6
Probe Atten,1.00E+00,,-0.0000001196,7.6
Model Number,TDS2002C,,-0.0000001195,7.6
Serial Number,C013636,,-0.0000001194,7.6
Firmware Version,FV:v24.15,,-0.0000001193,7.6
,,,-0.0000001192,7.6
,,,-0.0000001191,7.6
,,,-0.000000119,7.6
,,,-0.0000001189,7.6
,,,-0.0000001188,7.6
,,,-0.0000001187,7.6
,,,-0.0000001186,7.6
,,,-0.0000001185,7.6
,,,-0.0000001184,7.6
,,,-0.0000001183,7.6
,,,-0.0000001182,7.6
,,,-0.0000001181,7.6
,,,-0.000000118,7.6
,,,-0.0000001179,7.6
,,,-0.0000001178,7.6
,,,-0.0000001177,7.6
,,,-0.0000001176,7.6
,,,-0.0000001175,7.6
,,,-0.0000001174,7.6
,,,-0.0000001173,7.6
,,,-0.0000001172,7.6
,,,-0.0000001171,7.6
,,,-0.000000117,7.6
,,,-0.0000001169,7.6
,,,-0.0000001168,7.6
,,,-0.0000001167,7.6
,,,-0.0000001166,7.6
,,,-0.0000001165,7.6
,,,-0.0000001164,7.4
,,,-0.0000001163,7.4
,,,-0.0000001162,7.4
,,,-0.0000001161,7.4
,,,-0.000000116,7.4
,,,-0.0000001159,7.4
,,,-0.0000001158,7.4
,,,-0.0000001157,7.4
,,,-0.0000001156,7.4
,,,-0.0000001155,7.4
,,,-0.0000001154,7.2
,,,-0.0000001153,7.2
,,,-0.0000001152,7.2
,,,-0.0000001151,7.2
,,,-0.000000115,7.2
,,,-0.0000001149,7.2
,,,-0.0000001148,7.2
,,,-0.0000001147,7
,,,-0.0000001146,7
,,,-0.0000001145,7
,,,-0.0000001144,7
,,,-0.0000001143,7
,,,-0.0000001142,7
,,,-0.0000001141,7
,,,-0.000000114,6.8
,,,-0.0000001139,6.8
,,,-0.0000001138,6.8
,,,-0.0000001137,6.8
,,,-0.0000001136,6.8
,,,-0.0000001135,6.8
,,,-0.0000001134,6.6
,,,-0.0000001133,6.6
,,,-0.0000001132,6.6
,,,-0.0000001131,6.6
,,,-0.000000113,6.6
,,,-0.0000001129,6.4
,,,-0.0000001128,6.4
,,,-0.0000001127,6.4
,,,-0.0000001126,6.4
,,,-0.0000001125,6.4
,,,-0.0000001124,6.2
,,,-0.0000001123,6.2
,,,-0.0000001122,6.2
,,,-0.0000001121,6.2
,,,-0.000000112,6.2
,,,-0.0000001119,6
,,,-0.0000001118,6
,,,-0.0000001117,6
,,,-0.0000001116,6
,,,-0.0000001115,5.8
,,,-0.0000001114,5.8
,,,-0.0000001113,5.8
,,,-0.0000001112,5.8
,,,-0.0000001111,5.8
,,,-0.000000111,5.6
,,,-0.0000001109,5.6
,,,-0.0000001108,5.6
,,,-0.0000001107,5.6
,,,-0.0000001106,5.4
,,,-0.0000001105,5.4
,,,-0.0000001104,5.4
,,,-0.0000001103,5.2
,,,-0.0000001102,5.2
,,,-0.0000001101,5.2
,,,-0.00000011,5.2
,,,-0.0000001099,5
,,,-0.0000001098,5
,,,-0.0000001097,5
,,,-0.0000001096,5
,,,-0.0000001095,4.8
,,,-0.0000001094,4.8
,,,-0.0000001093,4.8
,,,-0.0000001092,4.6
,,,-0.0000001091,4.6
,,,-0.000000109,4.6
,,,-0.0000001089,4.6
,,,-0.0000001088,4.4
,,,-0.0000001087,4.4
,,,-0.0000001086,4.4
,,,-0.0000001085,4.2
,,,-0.0000001084,4.2
,,,-0.0000001083,4.2
,,,-0.0000001082,4
,,,-0.0000001081,4
,,,-0.000000108,4
,,,-0.0000001079,3.8
,,,-0.0000001078,3.8
,,,-0.0000001077,3.8
,,,-0.0000001076,3.6
,,,-0.0000001075,3.6
,,,-0.0000001074,3.6
,,,-0.0000001073,3.4
,,,-0.0000001072,3.4
,,,-0.0000001071,3.4
,,,-0.000000107,3.2
,,,-0.0000001069,3.2
,,,-0.0000001068,3.2
,,,-0.0000001067,3
,,,-0.0000001066,3
,,,-0.0000001065,3
,,,-0.0000001064,2.8
,,,-0.0000001063,2.8
,,,-0.0000001062,2.8
,,,-0.0000001061,2.6
,,,-0.000000106,2.6
,,,-0.0000001059,2.6
,,,-0.0000001058,2.4
,,,-0.0000001057,2.4
,,,-0.0000001056,2.4
,,,-0.0000001055,2.2
,,,-0.0000001054,2.2
,,,-0.0000001053,2.2
,,,-0.0000001052,2
,,,-0.0000001051,2
,,,-0.000000105,1.8
,,,-0.0000001049,1.8
,,,-0.0000001048,1.8
,,,-0.0000001047,1.6
,,,-0.0000001046,1.6
,,,-0.0000001045,1.6
,,,-0.0000001044,1.4
,,,-0.0000001043,1.4
,,,-0.0000001042,1.4
,,,-0.0000001041,1.2
,,,-0.000000104,1.2
,,,-0.0000001039,1
,,,-0.0000001038,1
,,,-0.0000001037,1
,,,-0.0000001036,0.8
,,,-0.0000001035,0.8
,,,-0.0000001034,0.8
,,,-0.0000001033,0.6
,,,-0.0000001032,0.6
,,,-0.0000001031,0.6
,,,-0.000000103,0.4
,,,-0.0000001029,0.4
,,,-0.0000001028,0.2
,,,-0.0000001027,0.2
,,,-0.0000001026,0.2
,,,-0.0000001025,0
,,,-0.0000001024,0
,,,-0.0000001023,0
,,,-0.0000001022,-0.2
,,,-0.0000001021,-0.2
,,,-0.000000102,-0.4
,,,-0.0000001019,-0.4
,,,-0.0000001018,-0.4
,,,-0.0000001017,-0.6
,,,-0.0000001016,-0.6
,,,-0.0000001015,-0.6
,,,-0.0000001014,-0.8
,,,-0.0000001013,-0.8
,,,-0.0000001012,-1
,,,-0.0000001011,-1
,,,-0.000000101,-1
,,,-0.0000001009,-1.2
,,,-0.0000001008,-1.2
,,,-0.0000001007,-1.2
,,,-0.0000001006,-1.4
,,,-0.0000001005,-1.4
,,,-0.0000001004,-1.4
,,,-0.0000001003,-1.6
,,,-0.0000001002,-1.6
,,,-0.0000001001,-1.8
,,,-0.0000001,-1.8
,,,-0.0000000999,-1.8
,,,-0.0000000998,-2
,,,-0.0000000997,-2
,,,-0.0000000996,-2
,,,-0.0000000995,-2.2
