,,,Time,Volts
Record Length,2.50E+03,,-0.000000121,-5.8
Sample Interval,1.00E-10,,-0.0000001209,-5.8
Trigger Point,1.21E+03,,-0.0000001208,-5.8
,,,-0.0000001207,-5.6
,,,-0.0000001206,-5.6
,,,-0.0000001205,-5.6
Source,CH2,,-0.0000001204,-5.6
Vertical Units,V,,-0.0000001203,-5.4
Vertical Scale,5.00E+00,,-0.0000001202,-5.4
Vertical Offset,0.00E+00,,-0.0000001201,-5.4
Horizontal Units,s,,-0.00000012,-5.2
Horizontal Scale,2.50E-08,,-0.0000001199,-5.2
Pt Fmt,Y,,-0.0000001198,-5.2
Yzero,0.00E+00,,-0.0000001197,-5
Probe Atten,1.00E+00,,-0.0000001196,-5
Model Number,TDS2002C,,-0.0000001195,-5
Serial Number,C013636,,-0.0000001194,-4.8
Firmware Version,FV:v24.15,,-0.0000001193,-4.8
,,,-0.0000001192,-4.8
,,,-0.0000001191,-4.6
,,,-0.000000119,-4.6
,,,-0.0000001189,-4.6
,,,-0.0000001188,-4.4
,,,-0.0000001187,-4.4
,,,-0.0000001186,-4.4
,,,-0.0000001185,-4.4
,,,-0.0000001184,-4.2
,,,-0.0000001183,-4.2
,,,-0.0000001182,-4
,,,-0.0000001181,-4
,,,-0.000000118,-4
,,,-0.0000001179,-3.8
,,,-0.0000001178,-3.8
,,,-0.0000001177,-3.8
,,,-0.0000001176,-3.6
,,,-0.0000001175,-3.6
,,,-0.0000001174,-3.6
,,,-0.0000001173,-3.4
,,,-0.0000001172,-3.4
,,,-0.0000001171,-3.4
,,,-0.000000117,-3.2
,,,-0.0000001169,-3.2
,,,-0.0000001168,-3
,,,-0.0000001167,-3
,,,-0.0000001166,-3
,,,-0.0000001165,-2.8
,,,-0.0000001164,-2.8
,,,-0.0000001163,-2.8
,,,-0.0000001162,-2.6
,,,-0.0000001161,-2.6
,,,-0.000000116,-2.4
,,,-0.0000001159,-2.4
,,,-0.0000001158,-2.4
,,,-0.0000001157,-2.2
,,,-0.0000001156,-2.2
,,,-0.0000001155,-2
,,,-0.0000001154,-2
,,,-0.0000001153,-2
,,,-0.0000001152,-1.8
,,,-0.0000001151,-1.8
,,,-0.000000115,-1.6
,,,-0.0000001149,-1.6
,,,-0.0000001148,-1.6
,,,-0.0000001147,-1.4
,,,-0.0000001146,-1.4
,,,-0.0000001145,-1.2
,,,-0.0000001144,-1.2
,,,-0.0000001143,-1.2
,,,-0.0000001142,-1
,,,-0.0000001141,-1
,,,-0.000000114,-0.8
,,,-0.0000001139,-0.8
,,,-0.0000001138,-0.6
,,,-0.0000001137,-0.6
,,,-0.0000001136,-0.6
,,,-0.0000001135,-0.4
,,,-0.0000001134,-0.4
,,,-0.0000001133,-0.2
,,,-0.0000001132,-0.2
,,,-0.0000001131,-0.2
,,,-0.000000113,0
,,,-0.0000001129,0
,,,-0.0000001128,0.2
,,,-0.0000001127,0.2
,,,-0.0000001126,0.4
,,,-0.0000001125,0.4
,,,-0.0000001124,0.4
,,,-0.0000001123,0.6
,,,-0.0000001122,0.6
,,,-0.0000001121,0.8
,,,-0.000000112,0.8
,,,-0.0000001119,1
,,,-0.0000001118,1
,,,-0.0000001117,1
,,,-0.0000001116,1.2
,,,-0.0000001115,1.2
,,,-0.0000001114,1.4
,,,-0.0000001113,1.4
,,,-0.0000001112,1.4
,,,-0.0000001111,1.6
,,,-0.000000111,1.6
,,,-0.0000001109,1.8
,,,-0.0000001108,1.8
,,,-0.0000001107,1.8
,,,-0.0000001106,2
,,,-0.0000001105,2
,,,-0.0000001104,2
,,,-0.0000001103,2.2
,,,-0.0000001102,2.2
,,,-0.0000001101,2.4
,,,-0.00000011,2.4
,,,-0.0000001099,2.4
,,,-0.0000001098,2.6
,,,-0.0000001097,2.6
,,,-0.0000001096,2.8
,,,-0.0000001095,2.8
,,,-0.0000001094,2.8
,,,-0.0000001093,3
,,,-0.0000001092,3
,,,-0.0000001091,3
,,,-0.000000109,3.2
,,,-0.0000001089,3.2
,,,-0.0000001088,3.4
,,,-0.0000001087,3.4
,,,-0.0000001086,3.4
,,,-0.0000001085,3.6
,,,-0.0000001084,3.6
,,,-0.0000001083,3.6
,,,-0.0000001082,3.8
,,,-0.0000001081,3.8
,,,-0.000000108,3.8
,,,-0.0000001079,4
,,,-0.0000001078,4
,,,-0.0000001077,4
,,,-0.0000001076,4.2
,,,-0.0000001075,4.2
,,,-0.0000001074,4.4
,,,-0.0000001073,4.4
,,,-0.0000001072,4.4
,,,-0.0000001071,4.6
,,,-0.000000107,4.6
,,,-0.0000001069,4.6
,,,-0.0000001068,4.6
,,,-0.0000001067,4.8
,,,-0.0000001066,4.8
,,,-0.0000001065,4.8
,,,-0.0000001064,5
,,,-0.0000001063,5
,,,-0.0000001062,5
,,,-0.0000001061,5.2
,,,-0.000000106,5.2
,,,-0.0000001059,5.2
,,,-0.0000001058,5.2
,,,-0.0000001057,5.4
,,,-0.0000001056,5.4
,,,-0.0000001055,5.4
,,,-0.0000001054,5.4
,,,-0.0000001053,5.6
,,,-0.0000001052,5.6
,,,-0.0000001051,5.6
,,,-0.000000105,5.6
,,,-0.0000001049,5.8
,,,-0.0000001048,5.8
,,,-0.0000001047,5.8
,,,-0.0000001046,5.8
,,,-0.0000001045,5.8
,,,-0.0000001044,6
,,,-0.0000001043,6
,,,-0.0000001042,6
,,,-0.0000001041,6
,,,-0.000000104,6.2
,,,-0.0000001039,6.2
,,,-0.0000001038,6.2
,,,-0.0000001037,6.2
,,,-0.0000001036,6.2
,,,-0.0000001035,6.4
,,,-0.0000001034,6.4
,,,-0.0000001033,6.4
,,,-0.0000001032,6.4
,,,-0.0000001031,6.4
,,,-0.000000103,6.6
,,,-0.0000001029,6.6
,,,-0.0000001028,6.6
,,,-0.0000001027,6.6
,,,-0.0000001026,6.6
,,,-0.0000001025,6.6
,,,-0.0000001024,6.8
,,,-0.0000001023,6.8
,,,-0.0000001022,6.8
,,,-0.0000001021,6.8
,,,-0.000000102,6.8
,,,-0.0000001019,6.8
,,,-0.0000001018,6.8
,,,-0.0000001017,7
,,,-0.0000001016,7
,,,-0.0000001015,7
,,,-0.0000001014,7
,,,-0.0000001013,7
,,,-0.0000001012,7
,,,-0.0000001011,7
,,,-0.000000101,7
,,,-0.0000001009,7.2
,,,-0.0000001008,7.2
,,,-0.0000001007,7.2
,,,-0.0000001006,7.2
,,,-0.0000001005,7.2
,,,-0.0000001004,7.2
,,,-0.0000001003,7.2
,,,-0.0000001002,7.2
,,,-0.0000001001,7.2
,,,-0.0000001,7.2
,,,-0.0000000999,7.2
,,,-0.0000000998,7.2
,,,-0.0000000997,7.2
,,,-0.0000000996,7.2
,,,-0.0000000995,7.2
,,,-0.0000000994,7.2
,,,-0.0000000993,7.2
,,,-0.0000000992,7.2
,,,-0.0000000991,7.2
,,,-0.000000099,7.2
,,,-0.0000000989,7.2
,,,-0.0000000988,7.2
,,,-0.0000000987,7.2
,,,-0.0000000986,7.2
,,,-0.0000000985,7.2
,,,-0.0000000984,7.2
,,,-0.0000000983,7.2
,,,-0.0000000982,7.2
,,,-0.0000000981,7.2
,,,-0.000000098,7.2
,,,-0.0000000979,7.2
,,,-0.0000000978,7.2
,,,-0.0000000977,7.2
,,,-0.0000000976,7.2
,,,-0.0000000975,7.2
,,,-0.0000000974,7.2
,,,-0.0000000973,7.2
,,,-0.0000000972,7
,,,-0.0000000971,7
,,,-0.000000097,7
,,,-0.0000000969,7
,,,-0.0000000968,7
,,,-0.0000000967,7
,,,-0.0000000966,7
,,,-0.0000000965,7
,,,-0.0000000964,7
,,,-0.0000000963,6.8
,,,-0.0000000962,6.8
,,,-0.0000000961,6.8
,,,-0.000000096,6.8
,,,-0.0000000959,6.8
,,,-0.0000000958,6.8
,,,-0.0000000957,6.8
,,,-0.0000000956,6.6
,,,-0.0000000955,6.6
,,,-0.0000000954,6.6
,,,-0.0000000953,6.6
,,,-0.0000000952,6.6
,,,-0.0000000951,6.6
,,,-0.000000095,6.4
,,,-0.0000000949,6.4
,,,-0.0000000948,6.4
,,,-0.0000000947,6.4
,,,-0.0000000946,6.4
,,,-0.0000000945,6.2
,,,-0.0000000944,6.2
,,,-0.0000000943,6.2
,,,-0.0000000942,6.2
,,,-0.0000000941,6.2
,,,-0.000000094,6
,,,-0.0000000939,6
,,,-0.0000000938,6
,,,-0.0000000937,6
,,,-0.0000000936,5.8
,,,-0.0000000935,5.8
,,,-0.0000000934,5.8
,,,-0.0000000933,5.8
,,,-0.0000000932,5.6
,,,-0.0000000931,5.6
,,,-0.000000093,5.6
,,,-0.0000000929,5.6
,,,-0.0000000928,5.4
,,,-0.0000000927,5.4
,,,-0.0000000926,5.4
,,,-0.0000000925,5.4
,,,-0.0000000924,5.2
,,,-0.0000000923,5.2
