,,,Time,Volts
Record Length,2.50E+03,,-0.000000125,6.4
Sample Interval,1.00E-10,,-0.0000001249,6.4
Trigger Point,1.25E+03,,-0.0000001248,6.4
,,,-0.0000001247,6.6
,,,-0.0000001246,6.6
,,,-0.0000001245,6.6
Source,CH2,,-0.0000001244,6.6
Vertical Units,V,,-0.0000001243,6.6
Vertical Scale,5.00E+00,,-0.0000001242,6.8
Vertical Offset,0.00E+00,,-0.0000001241,6.8
Horizontal Units,s,,-0.000000124,6.8
Horizontal Scale,2.50E-08,,-0.0000001239,6.8
Pt Fmt,Y,,-0.0000001238,6.8
Yzero,0.00E+00,,-0.0000001237,6.8
Probe Atten,1.00E+00,,-0.0000001236,7
Model Number,TDS2002C,,-0.0000001235,7
Serial Number,C013636,,-0.0000001234,7
Firmware Version,FV:v24.15,,-0.0000001233,7
,,,-0.0000001232,7
,,,-0.0000001231,7
,,,-0.000000123,7
,,,-0.0000001229,7.2
,,,-0.0000001228,7.2
,,,-0.0000001227,7.2
,,,-0.0000001226,7.2
,,,-0.0000001225,7.2
,,,-0.0000001224,7.2
,,,-0.0000001223,7.2
,,,-0.0000001222,7.4
,,,-0.0000001221,7.4
,,,-0.000000122,7.4
,,,-0.0000001219,7.4
,,,-0.0000001218,7.4
,,,-0.0000001217,7.4
,,,-0.0000001216,7.4
,,,-0.0000001215,7.4
,,,-0.0000001214,7.4
,,,-0.0000001213,7.4
,,,-0.0000001212,7.6
,,,-0.0000001211,7.6
,,,-0.000000121,7.6
,,,-0.0000001209,7.6
,,,-0.0000001208,7.6
,,,-0.0000001207,7.6
,,,-0.0000001206,7.6
,,,-0.0000001205,7.6
,,,-0.0000001204,7.6
,,,-0.0000001203,7.6
,,,-0.0000001202,7.6
,,,-0.0000001201,7.6
,,,-0.00000012,7.6
,,,-0.0000001199,7.6
,,,-0.0000001198,7.6
,,,-0.0000001197,7.6
,,,-0.0000001196,7.6
,,,-0.0000001195,7.6
,,,-0.0000001194,7.6
,,,-0.0000001193,7.6
,,,-0.0000001192,7.6
,,,-0.0000001191,7.8
,,,-0.000000119,7.8
,,,-0.0000001189,7.8
,,,-0.0000001188,7.8
,,,-0.0000001187,7.8
,,,-0.0000001186,7.6
,,,-0.0000001185,7.6
,,,-0.0000001184,7.6
,,,-0.0000001183,7.6
,,,-0.0000001182,7.6
,,,-0.0000001181,7.6
,,,-0.000000118,7.6
,,,-0.0000001179,7.6
,,,-0.0000001178,7.6
,,,-0.0000001177,7.6
,,,-0.0000001176,7.6
,,,-0.0000001175,7.6
,,,-0.0000001174,7.6
,,,-0.0000001173,7.6
,,,-0.0000001172,7.6
,,,-0.0000001171,7.6
,,,-0.000000117,7.6
,,,-0.0000001169,7.6
,,,-0.0000001168,7.6
,,,-0.0000001167,7.6
,,,-0.0000001166,7.4
,,,-0.0000001165,7.4
,,,-0.0000001164,7.4
,,,-0.0000001163,7.4
,,,-0.0000001162,7.4
,,,-0.0000001161,7.4
,,,-0.000000116,7.4
,,,-0.0000001159,7.4
,,,-0.0000001158,7.4
,,,-0.0000001157,7.4
,,,-0.0000001156,7.2
,,,-0.0000001155,7.2
,,,-0.0000001154,7.2
,,,-0.0000001153,7.2
,,,-0.0000001152,7.2
,,,-0.0000001151,7.2
,,,-0.000000115,7.2
,,,-0.0000001149,7.2
,,,-0.0000001148,7
,,,-0.0000001147,7
,,,-0.0000001146,7
,,,-0.0000001145,7
,,,-0.0000001144,7
,,,-0.0000001143,7
,,,-0.0000001142,6.8
,,,-0.0000001141,6.8
,,,-0.000000114,6.8
,,,-0.0000001139,6.8
,,,-0.0000001138,6.8
,,,-0.0000001137,6.8
,,,-0.0000001136,6.6
,,,-0.0000001135,6.6
,,,-0.0000001134,6.6
,,,-0.0000001133,6.6
,,,-0.0000001132,6.6
,,,-0.0000001131,6.4
,,,-0.000000113,6.4
,,,-0.0000001129,6.4
,,,-0.0000001128,6.4
,,,-0.0000001127,6.4
,,,-0.0000001126,6.2
,,,-0.0000001125,6.2
,,,-0.0000001124,6.2
,,,-0.0000001123,6.2
,,,-0.0000001122,6.2
,,,-0.0000001121,6
,,,-0.000000112,6
,,,-0.0000001119,6
,,,-0.0000001118,6
,,,-0.0000001117,5.8
,,,-0.0000001116,5.8
,,,-0.0000001115,5.8
,,,-0.0000001114,5.8
,,,-0.0000001113,5.6
,,,-0.0000001112,5.6
,,,-0.0000001111,5.6
,,,-0.000000111,5.6
,,,-0.0000001109,5.4
,,,-0.0000001108,5.4
,,,-0.0000001107,5.4
,,,-0.0000001106,5.4
,,,-0.0000001105,5.2
,,,-0.0000001104,5.2
,,,-0.0000001103,5.2
,,,-0.0000001102,5.2
,,,-0.0000001101,5
,,,-0.00000011,5
,,,-0.0000001099,5
,,,-0.0000001098,5
,,,-0.0000001097,4.8
,,,-0.0000001096,4.8
,,,-0.0000001095,4.8
,,,-0.0000001094,4.8
,,,-0.0000001093,4.6
,,,-0.0000001092,4.6
,,,-0.0000001091,4.6
,,,-0.000000109,4.4
,,,-0.0000001089,4.4
,,,-0.0000001088,4.4
,,,-0.0000001087,4.2
,,,-0.0000001086,4.2
,,,-0.0000001085,4.2
,,,-0.0000001084,4
,,,-0.0000001083,4
,,,-0.0000001082,4
,,,-0.0000001081,3.8
,,,-0.000000108,3.8
,,,-0.0000001079,3.8
,,,-0.0000001078,3.6
,,,-0.0000001077,3.6
,,,-0.0000001076,3.6
,,,-0.0000001075,3.4
,,,-0.0000001074,3.4
,,,-0.0000001073,3.4
,,,-0.0000001072,3.2
,,,-0.0000001071,3.2
,,,-0.000000107,3.2
,,,-0.0000001069,3
,,,-0.0000001068,3
,,,-0.0000001067,3
,,,-0.0000001066,2.8
,,,-0.0000001065,2.8
,,,-0.0000001064,2.8
,,,-0.0000001063,2.6
,,,-0.0000001062,2.6
,,,-0.0000001061,2.6
,,,-0.000000106,2.4
,,,-0.0000001059,2.4
,,,-0.0000001058,2.4
,,,-0.0000001057,2.2
,,,-0.0000001056,2.2
,,,-0.0000001055,2
,,,-0.0000001054,2
,,,-0.0000001053,2
,,,-0.0000001052,1.8
,,,-0.0000001051,1.8
,,,-0.000000105,1.8
,,,-0.0000001049,1.6
,,,-0.0000001048,1.6
,,,-0.0000001047,1.6
,,,-0.0000001046,1.4
,,,-0.0000001045,1.4
,,,-0.0000001044,1.2
,,,-0.0000001043,1.2
,,,-0.0000001042,1.2
,,,-0.0000001041,1
,,,-0.000000104,1
,,,-0.0000001039,1
,,,-0.0000001038,0.8
,,,-0.0000001037,0.8
,,,-0.0000001036,0.8
,,,-0.0000001035,0.6
,,,-0.0000001034,0.6
,,,-0.0000001033,0.4
,,,-0.0000001032,0.4
,,,-0.0000001031,0.4
,,,-0.000000103,0.2
,,,-0.0000001029,0.2
,,,-0.0000001028,0.2
,,,-0.0000001027,0
,,,-0.0000001026,0
,,,-0.0000001025,-0.2
,,,-0.0000001024,-0.2
,,,-0.0000001023,-0.2
,,,-0.0000001022,-0.4
,,,-0.0000001021,-0.4
,,,-0.000000102,-0.4
,,,-0.0000001019,-0.6
,,,-0.0000001018,-0.6
,,,-0.0000001017,-0.8
,,,-0.0000001016,-0.8
,,,-0.0000001015,-0.8
,,,-0.0000001014,-1
,,,-0.0000001013,-1
,,,-0.0000001012,-1
,,,-0.0000001011,-1.2
,,,-0.000000101,-1.2
,,,-0.0000001009,-1.2
,,,-0.0000001008,-1.4
,,,-0.0000001007,-1.4
,,,-0.0000001006,-1.6
,,,-0.0000001005,-1.6
,,,-0.0000001004,-1.6
,,,-0.0000001003,-1.8
,,,-0.0000001002,-1.8
,,,-0.0000001001,-2
,,,-0.0000001,-2
,,,-0.0000000999,-2
,,,-0.0000000998,-2.2
,,,-0.0000000997,-2.2
,,,-0.0000000996,-2.2
,,,-0.0000000995,-2.4
,,,-0.0000000994,-2.4
,,,-0.0000000993,-2.4
,,,-0.0000000992,-2.6
,,,-0.0000000991,-2.6
,,,-0.000000099,-2.8
,,,-0.0000000989,-2.8
,,,-0.0000000988,-2.8
,,,-0.0000000987,-3
,,,-0.0000000986,-3
,,,-0.0000000985,-3
,,,-0.0000000984,-3.2
,,,-0.0000000983,-3.2
,,,-0.0000000982,-3.2
,,,-0.0000000981,-3.4
,,,-0.000000098,-3.4
,,,-0.0000000979,-3.4
,,,-0.0000000978,-3.6
,,,-0.0000000977,-3.6
,,,-0.0000000976,-3.6
,,,-0.0000000975,-3.6
,,,-0.0000000974,-3.8
,,,-0.0000000973,-3.8
,,,-0.0000000972,-3.8
,,,-0.0000000971,-4
,,,-0.000000097,-4
,,,-0.0000000969,-4
,,,-0.0000000968,-4.2
,,,-0.0000000967,-4.2
,,,-0.0000000966,-4.2
,,,-0.0000000965,-4.4
,,,-0.0000000964,-4.4
,,,-0.0000000963,-4.4
,,,-0.0000000962,-4.6
,,,-0.0000000961,-4.6
,,,-0.000000096,-4.6
,,,-0.0000000959,-4.6
,,,-0.0000000958,-4.8
,,,-0.0000000957,-4.8
,,,-0.0000000956,-4.8
,,,-0.0000000955,-4.8
,,,-0.0000000954,-5
,,,-0.0000000953,-5
,,,-0.0000000952,-5
,,,-0.0000000951,-5.2
,,,-0.000000095,-5.2
,,,-0.0000000949,-5.2
,,,-0.0000000948,-5.2
,,,-0.0000000947,-5.4
,,,-0.0000000946,-5.4
,,,-0.0000000945,-5.4
,,,-0.0000000944,-5.6
,,,-0.0000000943,-5.6
,,,-0.0000000942,-5.6
,,,-0.0000000941,-5.6
,,,-0.000000094,-5.8
,,,-0.0000000939,-5.8
,,,-0.0000000938,-5.8
,,,-0.0000000937,-5.8
